,T2m,TSKIN,SUBLIM,QH,QL,SW_d,LW_d,RAIN,BDOT,ALBEDO,SMELT
1980-06-29,261.61072,259.68332,0.056074202,-0.5525994,-1.8155352,363.66733,192.59474,0.0,0.18575709,0.79889745,0.0
1980-06-30,259.57803,258.52353,0.09327071,1.635994,-3.022311,335.90494,196.74513,0.0,0.25279284,0.80043435,0.0
1980-07-01,263.5401,263.01254,0.057289172,1.9701843,-1.857519,303.46616,228.33467,0.0,1.5140352,0.8129507,0.0
1980-07-02,266.6406,265.99557,0.038331736,2.4234526,-1.23995,325.68228,233.31061,0.0,1.4128081,0.8131423,0.0
1980-07-03,265.48422,265.04666,0.067253344,1.9558734,-2.17937,327.3086,220.2956,0.0,0.8328925,0.8093658,0.0
1980-07-04,262.68784,261.86685,0.08506886,-0.20040973,-2.7576475,321.0189,211.9395,0.0,0.7317691,0.8052471,0.0
1980-07-05,261.50348,260.40314,0.101514,-0.74926215,-3.2893898,349.73502,200.03029,0.0,0.24921644,0.7987458,0.0
1980-07-06,263.49173,263.0124,0.0588402,1.6626143,-1.9079641,337.96353,212.84709,0.0,0.38590065,0.8024039,0.0
1980-07-07,263.9166,262.05136,0.06588464,-0.30642995,-2.1337974,330.19858,210.82909,0.0,0.54024184,0.80129784,0.0
1980-07-08,263.15134,262.20816,0.048909742,1.3924875,-1.584354,333.58594,208.78719,0.0,0.24350715,0.80019337,0.0
1980-07-09,262.17447,261.40674,0.04092343,1.4192839,-1.3256136,339.37955,201.07826,0.0,0.19774829,0.7993955,0.0
1980-07-10,261.3413,260.53796,0.02863671,1.879838,-0.9286521,342.57553,195.96034,0.0,0.2144587,0.7990435,0.0
1980-07-11,262.80246,261.17932,0.10400109,0.5791447,-3.369714,309.88803,213.88548,0.0,0.527406,0.8049171,0.0
1980-07-12,263.07312,262.5395,0.02732426,1.2264767,-0.8864829,329.49902,207.16663,0.0,0.5727835,0.8029873,0.0
1980-07-13,260.22653,259.3629,0.003349939,1.3898455,-0.10702094,348.9186,184.26118,0.0,0.22552474,0.79332155,0.0
1980-07-14,259.29486,258.72562,0.050140884,0.28871968,-1.6230607,307.70898,201.09308,0.0,0.5238222,0.7995331,0.0
1980-07-15,261.3204,260.77304,0.07888928,-1.8893138,-2.5560791,248.18164,227.50008,0.0,2.2792375,0.8182535,0.0
1980-07-16,259.50998,258.6793,0.05263204,-0.6106651,-1.704789,308.83658,200.34424,0.0,0.54302275,0.80010843,0.0
1980-07-17,260.7057,260.56808,0.06559859,-1.3425692,-2.125759,250.09993,225.91858,0.0,1.987532,0.8164713,0.0
1980-07-18,259.2245,258.2548,0.06733121,-1.8419741,-2.1803358,314.33594,195.12505,0.0,0.41764426,0.7988799,0.0
1980-07-19,260.09378,259.9302,0.054077573,0.15735602,-1.7513348,287.54883,209.1844,0.0,1.0492042,0.8090954,0.0
1980-07-20,259.4401,258.77365,0.055197686,1.4420643,-1.7867624,307.93198,196.29279,0.0,0.36657077,0.79986197,0.0
