year	concentration	uncert
1879.38	294.374	4.147
1879.46	291.919	4.145
1879.54	286.461	4.207
1879.63	281.735	4.188
1879.71	282.238	4.159
1879.79	286.451	4.164
1879.88	290.599	4.159
1879.96	292.903	4.189
1880.04	293.431	4.216
1880.13	294.305	4.170
1880.21	294.927	4.167
1880.29	295.056	4.149
1880.38	294.874	4.147
1880.46	292.419	4.145
1880.54	286.961	4.207
1880.63	282.235	4.188
1880.71	282.738	4.159
1880.79	286.951	4.164
1880.88	291.099	4.159
1880.96	293.403	4.189
1881.04	293.931	4.216
1881.13	294.805	4.170
1881.21	295.427	4.167
1881.29	295.556	4.149
1881.38	295.374	4.147
1881.46	292.919	4.145
1881.54	287.461	4.207
1881.63	282.735	4.188
1881.71	283.238	4.159
1881.79	287.451	4.164
1881.88	291.599	4.159
1881.96	293.903	4.189
1882.04	294.431	4.216
1882.13	295.305	4.170
1882.21	295.927	4.167
1882.29	296.056	4.149
1882.38	295.874	4.147
1882.46	293.419	4.145
1882.54	287.961	4.207
1882.63	283.235	4.188
1882.71	283.738	4.159
1882.79	287.951	4.164
1882.88	292.099	4.159
1882.96	294.403	4.189
1883.04	294.831	4.216
1883.13	295.705	4.170
1883.21	296.327	4.167
1883.29	296.456	4.149
1883.38	296.274	4.147
1883.46	293.819	4.145
1883.54	288.361	4.207
1883.63	283.635	4.188
1883.71	284.138	4.159
1883.79	288.351	4.164
1883.88	292.499	4.159
1883.96	294.803	4.189
1884.04	295.331	4.216
1884.13	296.205	4.170
1884.21	296.827	4.167
1884.29	296.956	4.149
1884.38	296.774	4.147
1884.46	294.319	4.145
1884.54	288.861	4.207
1884.63	284.135	4.188
1884.71	284.638	4.159
1884.79	288.851	4.164
1884.88	292.999	4.159
1884.96	295.303	4.189
1885.04	295.731	4.216
1885.13	296.605	4.170
1885.21	297.227	4.167
1885.29	297.356	4.149
1885.38	297.174	4.147
1885.46	294.719	4.145
1885.54	289.261	4.207
1885.63	284.535	4.188
1885.71	285.038	4.159
1885.79	289.251	4.164
1885.88	293.399	4.159
1885.96	295.703	4.189
1886.04	296.031	4.216
1886.13	296.905	4.170
1886.21	297.527	4.167
1886.29	297.656	4.149
1886.38	297.474	4.147
1886.46	295.019	4.145
1886.54	289.561	4.207
1886.63	284.835	4.188
1886.71	285.338	4.159
1886.79	289.551	4.164
1886.88	293.699	4.159
1886.96	296.003	4.189
1887.04	296.331	4.216
1887.13	297.205	4.170
1887.21	297.827	4.167
1887.29	297.956	4.149
1887.38	297.774	4.147
1887.46	295.319	4.145
1887.54	289.861	4.207
1887.63	285.135	4.188
1887.71	285.638	4.159
1887.79	289.851	4.164
1887.88	293.999	4.159
1887.96	296.303	4.189
1888.04	296.531	4.216
1888.13	297.405	4.170
1888.21	298.027	4.167
1888.29	298.156	4.149
1888.38	297.974	4.147
1888.46	295.519	4.145
1888.54	290.061	4.207
1888.63	285.335	4.188
1888.71	285.838	4.159
1888.79	290.051	4.164
1888.88	294.199	4.159
1888.96	296.503	4.189
1889.04	296.731	4.216
1889.13	297.605	4.170
1889.21	298.227	4.167
1889.29	298.356	4.149
1889.38	298.174	4.147
